nid,region,tmo,less,alphabet,more,day,month,year,captcha,mobile,email,manufactureDateYear,manufactureDateMonth,vehicleManufacturerName,vehicleModel,engineModel,engineNumber,chassisNumber,vehicleWeight,seatCapacity,engineDisplacement,ownershipType,vehicleType,enginePowerValue,enginePowerUnit,enginePowerRpm,typeOfOwner,firstName,lastName,nationality,citizenshipIssuingDateDay,citizenshipIssuingDateMonth,citizenshipIssuingDateYear,citizenshipIssuingDistrict,citizenshipNumber,panNumber,address,financedBy,representativeFirstName,representativeLastName,representativeNationality,representativeCitizenshipIssuingDateDay,representativeCitizenshipIssuingDateMonth,representativeCitizenshipIssuingDateYear,representativeCitizenshipIssuingDistrict,representativeCitizenshipNumber,representativePanNumber,nameOfOrganization,organizationPanNumber,representativeAddress,representativeFinancedBy,formFragment
लु-५५५-क-१०१६,लु,,५५५,क,१०१६,११,११,२०२०,123456,9888000028,,2000,11,vehicleManufacturerName,vehicleModel,engineModel,1234567890,1234567890,1000,6,2,Government,Auto-Rickshaw,,,,individual,firstName,lastName,Nepal,11,11,2020,Baitadi,1234567890,,address,,representativeFirstName,representativeLastName,Nepal,11,11,2020,Baitadi,123456789,,TigerIT,123456789,Address,,
लु-५५५-क-१०१७,लु,,५५५,क,१०१७,११,११,२०२०,123456,9888000028,,2000,11,vehicleManufacturerName,vehicleModel,engineModel,1234567890,1234567890,1000,6,2,Government,Auto-Rickshaw,,,,individual,firstName,lastName,Nepal,११,११,२०२०,319,1234567890,,address,,representativeFirstName,representativeLastName,Nepal,11,11,2020,Baitadi,123456789,,TigerIT,123456789,Address,,
लु-५५५-क-१०१८,लु,,५५५,क,१०१८,११,११,२०२०,123456,9888000028,,2000,11,vehicleManufacturerName,vehicleModel,engineModel,1234567890,1234567890,1000,6,2,Government,Auto-Rickshaw,,,,individual,firstName,lastName,Nepal,११,११,२०२०,319,1234567890,,address,,representativeFirstName,representativeLastName,Nepal,11,11,2020,Baitadi,123456789,,TigerIT,123456789,Address,,
लु-५५५-क-१०१९,लु,,५५५,क,१०१९,११,११,२०२०,123456,9888000028,,2000,11,vehicleManufacturerName,vehicleModel,engineModel,1234567890,1234567890,1000,6,2,Government,Auto-Rickshaw,,,,individual,firstName,lastName,Nepal,११,११,२०२०,319,1234567890,,address,,representativeFirstName,representativeLastName,Nepal,11,11,2020,Baitadi,123456789,,TigerIT,123456789,Address,,
लु-५५५-क-१०२०,लु,,५५५,क,१०२०,११,११,२०२०,123456,9888000028,,2000,11,vehicleManufacturerName,vehicleModel,engineModel,1234567890,1234567890,1000,6,2,Government,Auto-Rickshaw,,,,individual,firstName,lastName,Nepal,११,११,२०२०,319,1234567890,,address,,representativeFirstName,representativeLastName,Nepal,11,11,2020,Baitadi,123456789,,TigerIT,123456789,Address,,
लु-५५५-क-१०२१,लु,,५५५,क,१०२१,११,११,२०२०,123456,9888000028,,2000,11,vehicleManufacturerName,vehicleModel,engineModel,1234567890,1234567890,1000,6,2,Government,Auto-Rickshaw,,,,individual,firstName,lastName,Nepal,११,११,२०२०,319,1234567890,,address,,representativeFirstName,representativeLastName,Nepal,11,11,2020,Baitadi,123456789,,TigerIT,123456789,Address,,
लु-५५५-क-१०२२,लु,,५५५,क,१०२२,११,११,२०२०,123456,9888000028,,2000,11,vehicleManufacturerName,vehicleModel,engineModel,1234567890,1234567890,1000,6,2,Government,15,,,,individual,firstName,lastName,Nepal,११,११,२०२०,319,1234567890,,address,,representativeFirstName,representativeLastName,Nepal,11,11,2020,Baitadi,123456789,,TigerIT,123456789,Address,,
लु-५५५-क-१०२३,लु,,५५५,क,१०२३,११,११,२०२०,123456,9888000028,,2000,11,vehicleManufacturerName,vehicleModel,engineModel,1234567890,1234567890,1000,6,2,Government,15,,,,individual,firstName,lastName,0,११,११,२०२०,319,1234567890,,address,,representativeFirstName,representativeLastName,Nepal,11,11,2020,Baitadi,123456789,,TigerIT,123456789,Address,,
लु-५५५-क-१०२४,लु,,५५५,क,१०२४,११,११,२०२०,123456,9888000028,,2000,11,vehicleManufacturerName,vehicleModel,engineModel,1234567890,1234567890,1000,6,2,Government,15,,,,individual,firstName,lastName,0,११,११,२०२०,319,1234567890,,address,,,,Nepal,,,,,,,TigerIT,123456789,Address,,
लु-५५५-क-१०२५,लु,,५५५,क,१०२५,११,११,२०२०,123456,9888000028,,2000,11,vehicleManufacturerName,vehicleModel,engineModel,1234567890,1234567890,1000,6,2,Government,15,,,,individual,firstName,lastName,0,११,११,२०२०,319,1234567890,,address,,,,Nepal,,,,,,,,,,,
लु-५५५-क-१०२६,लु,,५५५,क,१०२६,११,११,२०२०,123456,9888000028,,2000,11,vehicleManufacturerName,vehicleModel,engineModel,1234567890,1234567890,1000,6,2,Government,15,,,,individual,firstName,lastName,0,११,११,२०२०,319,1234567890,,address,,,,Nepal,,,,,,,,,,,
लु-५५५-क-१०२७,लु,,५५५,क,१०२७,११,११,२०२०,123456,9888000028,,2000,11,vehicleManufacturerName,vehicleModel,engineModel,1234567890,1234567890,1000,6,2,Government,15,,,,individual,firstName,lastName,0,११,११,२०२०,319,1234567890,,address,,,,Nepal,,,,,,,,,,,
लु-५५५-क-१०२८,लु,,५५५,क,१०२८,११,११,२०२०,123456,9888000028,,2000,11,vehicleManufacturerName,vehicleModel,engineModel,1234567890,1234567890,1000,6,2,Government,15,,,,individual,firstName,lastName,0,११,११,२०२०,319,1234567890,,address,,,,Nepal,,,,,,,,,,,
लु-५५५-क-१०२९,लु,,५५५,क,१०२९,११,११,२०२०,123456,9888000028,,2000,11,vehicleManufacturerName,vehicleModel,engineModel,1234567890,1234567890,1000,6,2,Government,15,,,,individual,firstName,lastName,0,११,११,२०२०,319,1234567890,,address,,,,Nepal,,,,,,,,,,,
लु-५५५-क-१०३०,लु,,५५५,क,१०३०,११,११,२०२०,123456,9888000028,,2000,11,vehicleManufacturerName,vehicleModel,engineModel,1234567890,1234567890,1000,6,2,Government,15,,,,individual,firstName,lastName,0,११,११,२०२०,319,1234567890,,address,,,,Nepal,,,,,,,,,,,
लु-५५५-क-१०३१,लु,,५५५,क,१०३१,११,११,२०२०,123456,9888000028,,2000,11,vehicleManufacturerName,vehicleModel,engineModel,1234567890,1234567890,1000,6,2,Government,15,,,,individual,firstName,lastName,0,११,११,२०२०,319,1234567890,,address,,,,Nepal,,,,,,,,,,,
लु-५५५-क-१०३२,लु,,५५५,क,१०३२,११,११,२०२०,123456,9888000028,,2000,11,vehicleManufacturerName,vehicleModel,engineModel,1234567890,1234567890,1000,6,2,Government,15,,,,individual,firstName,lastName,0,११,११,२०२०,319,1234567890,,address,,,,Nepal,,,,,,,,,,,
लु-५५५-क-१०३३,लु,,५५५,क,१०३३,११,११,२०२०,123456,9888000028,,2000,11,vehicleManufacturerName,vehicleModel,engineModel,1234567890,1234567890,1000,6,2,Government,15,,,,individual,firstName,lastName,0,११,११,२०२०,319,1234567890,,address,,,,Nepal,,,,,,,,,,,
लु-५५५-क-१०३४,लु,,५५५,क,१०३४,११,११,२०२०,123456,9888000028,,2000,11,vehicleManufacturerName,vehicleModel,engineModel,1234567890,1234567890,1000,6,2,Government,15,,,,individual,firstName,lastName,0,११,११,२०२०,319,1234567890,,address,,,,Nepal,,,,,,,,,,,
लु-५५५-क-१०३५,लु,,५५५,क,१०३५,११,११,२०२०,123456,9888000028,,2000,11,vehicleManufacturerName,vehicleModel,engineModel,1234567890,1234567890,1000,6,2,Government,15,,,,individual,firstName,lastName,0,११,११,२०२०,319,1234567890,,address,,,,Nepal,,,,,,,,,,,
लु-५५५-क-१०३६,लु,,५५५,क,१०३६,११,११,२०२०,123456,9888000028,,2000,11,vehicleManufacturerName,vehicleModel,engineModel,1234567890,1234567890,1000,6,2,Government,15,,,,individual,firstName,lastName,0,११,११,२०२०,319,1234567890,,address,,,,Nepal,,,,,,,,,,,
लु-५५५-क-१०३७,लु,,५५५,क,१०३७,११,११,२०२०,123456,9888000028,,2000,11,vehicleManufacturerName,vehicleModel,engineModel,1234567890,1234567890,1000,6,2,Government,15,,,,individual,firstName,lastName,0,११,११,२०२०,319,1234567890,,address,,,,Nepal,,,,,,,,,,,
लु-५५५-क-१०३८,लु,,५५५,क,१०३८,११,११,२०२०,123456,9888000028,,2000,11,vehicleManufacturerName,vehicleModel,engineModel,1234567890,1234567890,1000,6,2,Government,15,,,,individual,firstName,lastName,0,११,११,२०२०,319,1234567890,,address,,,,Nepal,,,,,,,,,,,
लु-५५५-क-१०३९,लु,,५५५,क,१०३९,११,११,२०२०,123456,9888000028,,2000,11,vehicleManufacturerName,vehicleModel,engineModel,1234567890,1234567890,1000,6,2,Government,15,,,,individual,firstName,lastName,0,११,११,२०२०,319,1234567890,,address,,,,Nepal,,,,,,,,,,,
लु-५५५-क-१०४०,लु,,५५५,क,१०४०,११,११,२०२०,123456,9888000028,,2000,11,vehicleManufacturerName,vehicleModel,engineModel,1234567890,1234567890,1000,6,2,Government,15,,,,individual,firstName,lastName,0,११,११,२०२०,319,1234567890,,address,,,,0,,,,,,,,,,,
लु-५५५-क-१०४१,लु,,५५५,क,१०४१,११,११,२०२०,123456,9888000028,,2000,11,vehicleManufacturerName,vehicleModel,engineModel,1234567890,1234567890,1000,6,2,Government,15,,,,individual,firstName,lastName,0,११,११,२०२०,319,1234567890,,address,,,,0,,,,,,,,,,,
लु-५५५-क-१०४२,लु,,५५५,क,१०४२,११,११,२०२०,123456,9888000028,,2000,11,vehicleManufacturerName,vehicleModel,engineModel,1234567890,1234567890,1000,6,2,Government,15,,,,individual,firstName,lastName,0,११,११,२०२०,319,1234567890,,address,,,,0,,,,,,,,,,,
लु-५५५-क-१०४३,लु,,५५५,क,१०४३,११,११,२०२०,123456,9888000028,,2000,11,vehicleManufacturerName,vehicleModel,engineModel,1234567890,1234567890,1000,6,2,Government,15,,,,individual,firstName,lastName,0,११,११,२०२०,319,1234567890,,address,,,,0,,,,,,,,,,,
लु-५५५-क-१०४४,लु,,५५५,क,१०४४,११,११,२०२०,123456,9888000028,,2000,11,vehicleManufacturerName,vehicleModel,engineModel,1234567890,1234567890,1000,6,2,Government,15,,,,individual,firstName,lastName,0,११,११,२०२०,319,1234567890,,address,,,,0,,,,,,,,,,,
लु-५५५-क-१०४५,लु,,५५५,क,१०४५,११,११,२०२०,123456,9888000028,,2000,11,vehicleManufacturerName,vehicleModel,engineModel,1234567890,1234567890,1000,6,2,Government,15,,,,individual,firstName,lastName,0,११,११,२०२०,319,1234567890,,address,,,,0,,,,,,,,,,,
लु-५५५-क-१०४६,लु,,५५५,क,१०४६,११,११,२०२०,123456,9888000028,,2000,11,vehicleManufacturerName,vehicleModel,engineModel,1234567890,1234567890,1000,6,2,Government,15,,,,individual,firstName,lastName,0,११,११,२०२०,319,1234567890,,address,,,,0,,,,,,,,,,,
लु-५५५-क-१०४७,लु,,५५५,क,१०४७,११,११,२०२०,123456,9888000028,,2000,11,vehicleManufacturerName,vehicleModel,engineModel,1234567890,1234567890,1000,6,2,Government,15,,,,individual,firstName,lastName,0,११,११,२०२०,319,1234567890,,address,,,,0,,,,,,,,,,,
लु-५५५-क-१०४८,लु,,५५५,क,१०४८,११,११,२०२०,123456,9888000028,,2000,11,vehicleManufacturerName,vehicleModel,engineModel,1234567890,1234567890,1000,6,2,Government,15,,,,individual,firstName,lastName,0,११,११,२०२०,319,1234567890,,address,,,,0,,,,,,,,,,,
लु-५५५-क-१०४९,लु,,५५५,क,१०४९,११,११,२०२०,123456,9888000028,,2000,11,vehicleManufacturerName,vehicleModel,engineModel,1234567890,1234567890,1000,6,2,Government,15,,,,individual,firstName,lastName,0,११,११,२०२०,319,1234567890,,address,,,,0,,,,,,,,,,,
लु-५५५-क-१०५०,लु,,५५५,क,१०५०,११,११,२०२०,123456,9888000028,,2000,11,vehicleManufacturerName,vehicleModel,engineModel,1234567890,1234567890,1000,6,2,Government,15,,,,individual,firstName,lastName,0,११,११,२०२०,319,1234567890,,address,,,,0,,,,,,,,,,,
लु-५५५-क-१०५१,लु,,५५५,क,१०५१,११,११,२०२०,123456,9888000028,,2000,11,vehicleManufacturerName,vehicleModel,engineModel,1234567890,1234567890,1000,6,2,Government,15,,,,individual,firstName,lastName,0,११,११,२०२०,319,1234567890,,address,,,,0,,,,,,,,,,,
लु-५५५-क-१०५२,लु,,५५५,क,१०५२,११,११,२०२०,123456,9888000028,,2000,11,vehicleManufacturerName,vehicleModel,engineModel,1234567890,1234567890,1000,6,2,Government,15,,,,individual,firstName,lastName,0,११,११,२०२०,319,1234567890,,address,,,,0,,,,,,,,,,,
लु-५५५-क-१०५३,लु,,५५५,क,१०५३,११,११,२०२०,123456,9888000028,,2000,11,vehicleManufacturerName,vehicleModel,engineModel,1234567890,1234567890,1000,6,2,Government,15,,,,individual,firstName,lastName,0,११,११,२०२०,319,1234567890,,address,,,,0,,,,,,,,,,,
लु-५५५-क-१०५४,लु,,५५५,क,१०५४,११,११,२०२०,123456,9888000028,,2000,11,vehicleManufacturerName,vehicleModel,engineModel,1234567890,1234567890,1000,6,2,Government,15,,,,individual,firstName,lastName,0,११,११,२०२०,319,1234567890,,address,,,,0,,,,,,,,,,,
लु-५५५-क-१०५५,लु,,५५५,क,१०५५,११,११,२०२०,123456,9888000028,,2000,11,vehicleManufacturerName,vehicleModel,engineModel,1234567890,1234567890,1000,6,2,Government,15,,,,individual,firstName,lastName,0,११,११,२०२०,319,1234567890,,address,,,,0,,,,,,,,,,,
लु-५५५-क-१०५६,लु,,५५५,क,१०५६,११,११,२०२०,123456,9888000028,,2000,11,vehicleManufacturerName,vehicleModel,engineModel,1234567890,1234567890,1000,6,2,Government,15,,,,individual,firstName,lastName,0,११,११,२०२०,319,1234567890,,address,,,,0,,,,,,,,,,,
लु-५५५-क-१०५७,लु,,५५५,क,१०५७,११,११,२०२०,123456,9888000028,,2000,11,vehicleManufacturerName,vehicleModel,engineModel,1234567890,1234567890,1000,6,2,Government,15,,,,individual,firstName,lastName,0,११,११,२०२०,319,1234567890,,address,,,,0,,,,,,,,,,,
लु-५५५-क-१०५८,लु,,५५५,क,१०५८,११,११,२०२०,123456,9888000028,,2000,11,vehicleManufacturerName,vehicleModel,engineModel,1234567890,1234567890,1000,6,2,Government,15,,,,individual,firstName,lastName,0,११,११,२०२०,319,1234567890,,address,,,,0,,,,,,,,,,,
लु-५५५-क-१०५९,लु,,५५५,क,१०५९,११,११,२०२०,123456,9888000028,,2000,11,vehicleManufacturerName,vehicleModel,engineModel,1234567890,1234567890,1000,6,2,Government,15,,,,individual,firstName,lastName,0,११,११,२०२०,319,1234567890,,address,,,,0,,,,,,,,,,,
लु-५५५-क-१०६०,लु,,५५५,क,१०६०,११,११,२०२०,123456,9888000028,,2000,11,vehicleManufacturerName,vehicleModel,engineModel,1234567890,1234567890,1000,6,2,Government,15,,,,individual,firstName,lastName,0,११,११,२०२०,319,1234567890,,address,,,,0,,,,,,,,,,,
लु-५५५-क-१०६१,लु,,५५५,क,१०६१,११,११,२०२०,123456,9888000028,,2000,11,vehicleManufacturerName,vehicleModel,engineModel,1234567890,1234567890,1000,6,2,Government,15,,,,individual,firstName,lastName,0,११,११,२०२०,319,1234567890,,address,,,,0,,,,,,,,,,,
लु-५५५-क-१०६२,लु,,५५५,क,१०६२,११,११,२०२०,123456,9888000028,,2000,11,vehicleManufacturerName,vehicleModel,engineModel,1234567890,1234567890,1000,6,2,Government,15,,,,individual,firstName,lastName,0,११,११,२०२०,319,1234567890,,address,,,,0,,,,,,,,,,,
लु-५५५-क-१०६३,लु,,५५५,क,१०६३,११,११,२०२०,123456,9888000028,,2000,11,vehicleManufacturerName,vehicleModel,engineModel,1234567890,1234567890,1000,6,2,Government,15,,,,individual,firstName,lastName,0,११,११,२०२०,319,1234567890,,address,,,,0,,,,,,,,,,,
लु-५५५-क-१०६४,लु,,५५५,क,१०६४,११,११,२०२०,123456,9888000028,,2000,11,vehicleManufacturerName,vehicleModel,engineModel,1234567890,1234567890,1000,6,2,Government,15,,,,individual,firstName,lastName,0,११,११,२०२०,319,1234567890,,address,,,,0,,,,,,,,,,,
लु-५५५-क-१०६५,लु,,५५५,क,१०६५,११,११,२०२०,123456,9888000028,,2000,11,vehicleManufacturerName,vehicleModel,engineModel,1234567890,1234567890,1000,6,2,Government,15,,,,individual,firstName,lastName,0,११,११,२०२०,319,1234567890,,address,,,,0,,,,,,,,,,,
लु-५५५-क-१०६६,लु,,५५५,क,१०६६,११,११,२०२०,123456,9888000028,,2000,11,vehicleManufacturerName,vehicleModel,engineModel,1234567890,1234567890,1000,6,2,Government,15,,,,individual,firstName,lastName,0,११,११,२०२०,319,1234567890,,address,,,,0,,,,,,,,,,,
लु-५५५-क-१०६७,लु,,५५५,क,१०६७,११,११,२०२०,123456,9888000028,,2000,11,vehicleManufacturerName,vehicleModel,engineModel,1234567890,1234567890,1000,6,2,Government,15,,,,individual,firstName,lastName,0,११,११,२०२०,319,1234567890,,address,,,,0,,,,,,,,,,,
लु-५५५-क-१०६८,लु,,५५५,क,१०६८,११,११,२०२०,123456,9888000028,,2000,11,vehicleManufacturerName,vehicleModel,engineModel,1234567890,1234567890,1000,6,2,Government,15,,,,individual,firstName,lastName,0,११,११,२०२०,319,1234567890,,address,,,,0,,,,,,,,,,,
लु-५५५-क-१०६९,लु,,५५५,क,१०६९,११,११,२०२०,123456,9888000028,,2000,11,vehicleManufacturerName,vehicleModel,engineModel,1234567890,1234567890,1000,6,2,Government,15,,,,individual,firstName,lastName,0,११,११,२०२०,319,1234567890,,address,,,,0,,,,,,,,,,,
लु-५५५-क-१०७०,लु,,५५५,क,१०७०,११,११,२०२०,123456,9888000028,,2000,11,vehicleManufacturerName,vehicleModel,engineModel,1234567890,1234567890,1000,6,2,Government,15,,,,individual,firstName,lastName,0,११,११,२०२०,319,1234567890,,address,,,,0,,,,,,,,,,,
लु-५५५-क-१०७१,लु,,५५५,क,१०७१,११,११,२०२०,123456,9888000028,,2000,11,vehicleManufacturerName,vehicleModel,engineModel,1234567890,1234567890,1000,6,2,Government,15,,,,individual,firstName,lastName,0,११,११,२०२०,319,1234567890,,address,,,,0,,,,,,,,,,,
लु-५५५-क-१०७२,लु,,५५५,क,१०७२,११,११,२०२०,123456,9888000028,,2000,11,vehicleManufacturerName,vehicleModel,engineModel,1234567890,1234567890,1000,6,2,Government,15,,,,individual,firstName,lastName,0,११,११,२०२०,319,1234567890,,address,,,,0,,,,,,,,,,,
लु-५५५-क-१०७३,लु,,५५५,क,१०७३,११,११,२०२०,123456,9888000028,,2000,11,vehicleManufacturerName,vehicleModel,engineModel,1234567890,1234567890,1000,6,2,Government,15,,,,individual,firstName,lastName,0,११,११,२०२०,319,1234567890,,address,,,,0,,,,,,,,,,,
लु-५५५-क-१०७४,लु,,५५५,क,१०७४,११,११,२०२०,123456,9888000028,,2000,11,vehicleManufacturerName,vehicleModel,engineModel,1234567890,1234567890,1000,6,2,Government,15,,,,individual,firstName,lastName,0,११,११,२०२०,319,1234567890,,address,,,,0,,,,,,,,,,,
लु-५५५-क-१०७५,लु,,५५५,क,१०७५,११,११,२०२०,123456,9888000028,,2000,11,vehicleManufacturerName,vehicleModel,engineModel,1234567890,1234567890,1000,6,2,Government,15,,,,individual,firstName,lastName,0,११,११,२०२०,319,1234567890,,address,,,,0,,,,,,,,,,,
लु-५५५-क-१०७६,लु,,५५५,क,१०७६,११,११,२०२०,123456,9888000028,,2000,11,vehicleManufacturerName,vehicleModel,engineModel,1234567890,1234567890,1000,6,2,Government,15,,,,individual,firstName,lastName,0,११,११,२०२०,319,1234567890,,address,,,,0,,,,,,,,,,,
लु-५५५-क-१०७७,लु,,५५५,क,१०७७,११,११,२०२०,123456,9888000028,,2000,11,vehicleManufacturerName,vehicleModel,engineModel,1234567890,1234567890,1000,6,2,Government,15,,,,individual,firstName,lastName,0,११,११,२०२०,319,1234567890,,address,,,,0,,,,,,,,,,,
लु-५५५-क-१०७८,लु,,५५५,क,१०७८,११,११,२०२०,123456,9888000028,,2000,11,vehicleManufacturerName,vehicleModel,engineModel,1234567890,1234567890,1000,6,2,Government,15,,,,individual,firstName,lastName,0,११,११,२०२०,319,1234567890,,address,,,,0,,,,,,,,,,,
लु-५५५-क-१०७९,लु,,५५५,क,१०७९,११,११,२०२०,123456,9888000028,,2000,11,vehicleManufacturerName,vehicleModel,engineModel,1234567890,1234567890,1000,6,2,Government,15,,,,individual,firstName,lastName,0,११,११,२०२०,319,1234567890,,address,,,,0,,,,,,,,,,,
लु-५५५-क-१०८०,लु,,५५५,क,१०८०,११,११,२०२०,123456,9888000028,,2000,11,vehicleManufacturerName,vehicleModel,engineModel,1234567890,1234567890,1000,6,2,Government,15,,,,individual,firstName,lastName,0,११,११,२०२०,319,1234567890,,address,,,,0,,,,,,,,,,,
